0 0 0	
-1 0 0 0	
0 0 0	
0 0 0 0	
0 0 0	
0.9709274 -0.2393742 0 0	
0.9985478 0.05387422 -1.54882E-11 -3.221008E-10	
0 0 0 0	
0.9866379 0.1629282 2.316605E-09 3.825519E-10	
0 0 0 0	
0.700777 -0.02451587 0.01466715 0.7128082	
0.7170744 -0.02716306 0.05459516 0.6943243	
0.6672443 0.01156953 0.1481626 0.7298629	
0 0 0 0	
0 0 0 0	
0 0 0 0	
0.7008794 -0.01823793 -0.008495599 -0.7129962	
0.7175898 -0.02013749 -0.04733815 -0.6945637	
0.6672435 0.01156962 -0.1481627 -0.7298631	
0 0 0 0	
0 0 0 0	
0 0 0 0	
0.03833097 0.9989123 -0.008133676 -0.02527293	
-0.0242611 0.9995826 -0.01230919 -0.009718304	
0.5761001 0.8150884 -0.0586658 -0.01727069	
0 0 0 0	
0.03833067 0.9989111 0.008135478 0.02532071	
-0.02426092 0.9995826 0.01230916 0.009718311	
0.5761001 0.8150883 0.05866577 0.01727069	
0 0 0 0	
0.7314243 -0.02984898 0.006053701 0.6812423	
0.7314479 -0.02283588 0.001474679 -0.6815134	
0.1132757 0.5634169 2.501963	
0.9931771 -0.08205644 -0.08234998 -0.009191283	
0.9938588 -0.06728034 -0.08733862 -0.009492717	
-0.9839668 0.1055413 0.1434905 0.008992684	
-0.7568758 0.06651291 -0.03206007 -0.6493745	
-0.7449323 0.06546335 -0.2276178 -0.6236831	
-0.6936534 0.02673783 -0.2137681 -0.6873381	
-0.7612563 -0.06689788 0.121161 0.6335089	
-0.7108437 -0.06246771 0.3434212 0.6106235	
-0.5923361 -0.1648146 0.2957191 0.7311119	
0.9953774 -0.04895333 -0.08253242 -0.003981214	
0.9964917 0.01329731 -0.08261996 0.00118019	
-0.995581 -0.01117905 0.09323343 0.0009269167	
0.9963024 0.006913954 -0.08260912 0.02257069	
0.9959996 0.02551924 -0.08217319 0.02410953	
-0.9866424 -0.02759898 0.1605297 0.002288364	
0.9835624 0 -0.01388277 0.1800343	
0.9724788 0 -0.1549281 -0.174018	
0.1132199 0.5632979 2.502627	
0.9932784 -0.08182603 -0.08133995 -0.009294373	
0.993893 -0.06708656 -0.08709636 -0.009509416	
-0.9846156 0.1077304 0.137257 0.009331774	
-0.7569558 0.066333 -0.03176664 -0.6493141	
-0.7452234 0.06530487 -0.2274328 -0.6234194	
-0.6923987 0.02752823 -0.2150204 -0.6881807	
-0.7610474 -0.06669153 0.1214222 0.6337318	
-0.7113079 -0.06233282 0.3424379 0.6106489	
-0.5892721 -0.1661745 0.2942972 0.7338488	
0.9954399 -0.04938507 -0.08151696 -0.003927941	
0.9965801 0.01295112 -0.08160306 0.001176566	
0.9983926 0.009690343 -0.05583779 -0.000793546	
0.9963897 0.006348982 -0.08159474 0.0225739	
0.9960958 0.0250163 -0.08115747 0.02409871	
-0.9872028 -0.02713335 0.1571286 0.002221762	
0.9836073 0 -0.01375902 0.1797984	
0.9724949 0 -0.1545576 -0.1742574	
0.1131745 0.5631974 2.503183	
0.9933466 -0.08161029 -0.08071229 -0.009371281	
0.9939291 -0.06688109 -0.08683764 -0.009539316	
-0.9815605 0.1129223 0.1536986 0.01282339	
-0.7570354 0.06614064 -0.03150365 -0.6492537	
-0.7454002 0.06512409 -0.2274696 -0.6232135	
-0.6908547 0.02768404 -0.2160377 -0.6894065	
-0.7608738 -0.06647599 0.1215446 0.6339393	
-0.7116885 -0.06217877 0.341301 0.6108575	
-0.587247 -0.1602631 0.2976556 0.7354307	
0.9954737 -0.04974292 -0.08088512 -0.00391253	
0.9966359 0.01262078 -0.08097146 0.001154448	
-0.9933272 -0.01126222 0.1147754 0.0009149812	
0.9964445 0.005691446 -0.080964 0.02260488	
0.9961522 0.02479533 -0.08051571 0.02415305	
-0.9875997 -0.02694852 0.154648 0.002189522	
0.9836436 0 -0.0136075 0.1796113	
0.9725109 0 -0.1541973 -0.1744869	
0.1131527 0.5631161 2.503567	
0.9933953 -0.08146787 -0.08025077 -0.009417488	
0.9939677 -0.06671705 -0.08651998 -0.009567974	
-0.9795379 0.1114494 0.1673917 0.008051557	
-0.7571322 0.06590465 -0.03131765 -0.6491737	
-0.7454569 0.06488836 -0.2275561 -0.6231388	
-0.6894067 0.02778953 -0.2170124 -0.6905449	
-0.76073 -0.0662178 0.1214626 0.6341544	
-0.7120171 -0.06197759 0.340912 0.6107122	
-0.5822849 -0.1529403 0.303354 0.7386001	
0.9955037 -0.04989446 -0.0804211 -0.003940358	
0.9966769 0.01233641 -0.08051024 0.001086745	
-0.9908605 -0.01160119 0.1343872 0.000937161	
0.9964851 0.005232722 -0.08050038 0.02257938	
0.9961927 0.02469948 -0.0800439 0.02414776	
-0.9824104 -0.0255734 0.1849643 0.002065527	
0.9836537 0 -0.01326238 0.1795813	
0.9725152 0 -0.1539183 -0.1747097	
0.1131349 0.563072 2.503789	
0.993426 -0.0813913 -0.07994327 -0.009453746	
0.9940137 -0.06663437 -0.08604749 -0.009615706	
-0.9843736 0.1110103 0.1366558 0.00325768	
-0.7573093 0.06555676 -0.03110431 -0.6490127	
-0.7453611 0.06452248 -0.2279193 -0.6231585	
-0.6875125 0.02945766 -0.2198559 -0.6914639	
-0.7606227 -0.0658436 0.1212504 0.6343627	
-0.7121293 -0.06164575 0.340665 0.6107529	
-0.5769111 -0.1466261 0.3083452 0.742023	
0.9955258 -0.04994731 -0.08011224 -0.003986782	
0.9967039 0.01214973 -0.08020502 0.001010245	
-0.989772 -0.011662 0.142178 0.0009383032	
0.9965169 0.004582442 -0.080192 0.02241405	
0.9962125 0.02504861 -0.07971473 0.02405636	
-0.9772614 -0.02479099 0.2105745 0.001994951	
0.9836621 0 -0.01251738 0.179589	
0.9725171 0 -0.1537595 -0.1748386	
0.1131186 0.5630377 2.503914	
0.9934913 -0.08132248 -0.07919221 -0.009503962	
0.9942576 -0.06645354 -0.0833101 -0.00975901	
0.9885192 -0.09735779 -0.1142847 -0.01703778	
-0.7578328 0.06349953 -0.03110308 -0.6486061	
-0.7446417 0.06239423 -0.2317532 -0.6228212	
-0.6879668 0.03510576 -0.2301436 -0.6873888	
-0.7607042 -0.06374013 0.1195483 0.6348027	
-0.7123444 -0.05968799 0.3391279 0.6115515	
-0.5717726 -0.1407135 0.3106632 0.7461667	
0.9955912 -0.04983239 -0.0793596 -0.004115291	
0.9967642 0.0120889 -0.07946199 0.0008207944	
-0.9893074 -0.0117227 0.1453701 0.000934387	
0.9965835 0.004018785 -0.07943869 0.02224183	
0.9962664 0.02546074 -0.07894174 0.02394591	
-0.9740687 -0.02449581 0.2249145 0.00195242	
0.9836034 0 -0.007702638 0.1801804	
0.9725111 0 -0.1535058 -0.1750946	
0.1129498 0.562991 2.503503	
0.9937292 -0.08151368 -0.07592337 -0.009663484	
0.9947943 -0.06632289 -0.07671837 -0.009998784	
-0.9870129 0.08273461 0.1374475 0.00830191	
-0.7603295 0.05863641 -0.03836686 -0.6457467	
-0.7429505 0.05729615 -0.2370058 -0.6233538	
-0.6950915 0.03580794 -0.2370961 -0.6777546	
-0.761001 -0.05868819 0.11532 0.6357158	
-0.7125899 -0.05495475 0.3355245 0.6136928	
-0.5681619 -0.1331763 0.3101636 0.7505031	
0.9959023 -0.048676 -0.0760894 -0.004436731	
0.9970139 0.01241155 -0.07621828 0.0002318557	
-0.9895136 -0.01214729 0.1439251 0.0009280173	
0.9968387 0.004088568 -0.07616094 0.02225529	
0.9965098 0.02593261 -0.07565495 0.02391896	
-0.9724864 -0.02432405 0.2316786 0.001858301	
0.9835164 0 0.003467402 0.1807856	
0.9725267 0 -0.1525856 -0.1758113	
0.1124454 0.5630001 2.50218	
0.9943944 -0.08215103 -0.06580872 -0.01001322	
-0.9958379 0.06635339 0.06166267 0.01009604	
0.998764 0.01612742 -0.04659576 0.006260801	
-0.7653467 0.04739035 -0.05542297 -0.6394739	
-0.7403764 0.04584419 -0.2346246 -0.6282455	
-0.714335 0.02880865 -0.2292268 -0.6605685	
-0.7612211 -0.04713489 0.1063197 0.6379787	
-0.7114735 -0.04405452 0.3316452 0.6179613	
